Channel Name,SRP Filename,SNP Filename,Position,Satellite,Status
12671V SID 0xfffe,1_0_C_FFFE_EA61_0_CE40000_0_0_0.png,12671vsid0xfffe.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
ACORES,1_0_2_6_1_1_CE40000_0_0_0.png,acores.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
ANT1 MADEIRA,1_0_2_9_1_1_CE40000_0_0_0.png,ant1madeira.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
ANT3 MADEIRA,1_0_2_A_1_1_CE40000_0_0_0.png,ant3madeira.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
ARAGON RADIO HUESCA,1_0_2_27B5_3E9_22D4_CE40000_0_0_0.png,aragonradiohuesca.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
ARAGON RADIO TERUEL,1_0_2_27B6_3E9_22D4_CE40000_0_0_0.png,aragonradioteruel.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
ARAGON RADIO ZARAGOZA,1_0_2_27B1_3E9_22D4_CE40000_0_0_0.png,aragonradiozaragoza.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
ARAGON TV HD,1_0_19_27B2_3E9_22D4_CE40000_0_0_0.png,aragontvhd.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
CMR,1_0_2_52A_30_36_CE40000_0_0_0.png,cmr.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
CMR,1_0_2_126E_2F_36_CE40000_0_0_0.png,cmr.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
